Actual,ANN-GA,,,SVR,,,LSTM,
1.3831774503837,0.609008754858223,,0.637621635509873,73.7091206447296,,0.637621635509873,89.453760128702,
10.7026251363069,2.48337059818823,,10.8890140900254,-48.1243991717226,,10.8890140900254,32.0982877228028,
20.5812396833855,41.470096939453,,20.0220728222301,-34.2541215310805,,20.0220728222301,71.0850140640675,
30.0870763230272,41.470096939453,,29.1551315544349,68.8357798520715,,29.1551315544349,140.061529898613,
39.9656908701058,51.2167785247691,,41.8295804072905,-9.13767283045786,,41.8295804072905,130.689720681963,
50.2170833246214,17.4782653448285,,52.080972861806,126.191252257971,,52.080972861806,-0.140735982473871,
60.6548647328554,58.3393535294233,,62.3323653163216,43.7193311514491,,62.3323653163216,107.822506193336,
71.0926461410894,55.3403745800952,,72.5837577708371,39.220862727457,,69.2287566039047,59.4639706354212,
80.971260688168,84.2055469673778,,82.8351502253526,156.181041751251,,81.7168165030419,73.3342482760636,
90.8498752352466,84.2055469673778,,93.0865426798682,147.184104903267,,91.9682089575574,112.320974617328,
100.355711874888,117.944060147318,,102.219601412073,176.799022027881,,102.219601412073,107.822506193336,
112.657382820307,113.07071935466,,111.352660144278,142.310764110609,,111.352660144278,181.297490451874,
122.535997367386,132.938954893959,,120.485718876482,84.9552917047097,,120.485718876482,156.181041751251,
132.414611914464,117.944060147318,,142.293226461543,128.815358838633,,133.160167729338,137.812295686617,
141.920448554106,117.944060147318,,133.160167729338,206.788811521162,,140.056559016921,162.928744387239,
151.799063101184,141.935891741943,,152.544618916058,181.67236282054,,152.544618916058,167.427212811231,
162.0504555557,160.679510175243,,162.796011370574,195.167768092516,,162.796011370574,236.403728645777,
172.488236963934,180.547745714541,,173.047403825089,160.679510175243,,173.047403825089,162.928744387239,
181.994073603576,224.407812848464,,183.298796279605,204.539577309166,,183.298796279605,197.417002304512,
191.872688150654,190.669299668524,,193.55018873412,229.656026009789,,193.55018873412,149.058466746597,
201.751302697733,180.547745714541,,202.683247466325,216.160620737812,,202.683247466325,75.5834824880596,
211.629917244811,204.539577309166,,211.81630619853,163.303616755905,,211.81630619853,241.277069438435,
221.50853179189,209.412918101824,,224.490755051385,231.905260221785,,224.490755051385,261.895049715065,
233.437424829872,238.278090489107,,234.742147505901,280.2637957797,,234.742147505901,192.91853388052,
243.31603937695,208.663173364492,,241.638538793484,211.287279945154,,254.126598692621,179.048256239878,
253.194653924029,252.148368129749,,254.126598692621,245.775537862427,,241.638538793484,353.738780038237,
263.073268471108,262.269922083731,,264.377991147137,245.775537862427,,273.511049879342,261.895049715065,
272.951883018186,277.264816830371,,274.629383601652,342.492608978257,,283.762442333857,358.237248462229,
282.457719657828,267.143262876389,,284.880776056168,308.004351060984,,294.013834788373,362.735716886221,
293.268278973499,287.011498415688,,291.777167343751,308.004351060984,,304.265227242888,309.878712904314,
303.146893520577,272.016603669047,,313.398285975093,333.120799761607,,323.836067383327,275.765327355707,
312.652730160219,300.88177605633,,322.531344707298,294.134073420342,,334.087459837843,231.905260221785,
322.531344707298,311.003330010312,,335.205793560153,333.120799761607,,344.338852292358,319.250522120964,
334.833015652716,339.868502397595,,345.457186014669,319.250522120964,,354.590244746874,362.735716886221,
344.711630199795,320.000266858296,,355.708578469184,376.605994526863,,364.841637201389,427.213764296774,
354.217466839437,368.733674784877,,362.604969756768,385.977803743514,,375.093029655905,431.712232720766,
364.096081386515,392.350634010836,,375.093029655905,360.861355042891,,385.34442211042,362.735716886221,
373.974695933594,328.99720370628,,385.34442211042,395.349612960164,,395.595814564936,376.605994526863,
383.853310480672,392.350634010836,,395.595814564936,346.991077402249,,404.72887329714,346.616205033583,
393.731925027751,406.595784020144,,404.72887329714,342.492608978257,,413.861932029345,342.117736609591,
403.61053957483,386.727548480845,,413.861932029345,429.46299850877,,426.536380882201,337.619268185599,
415.539432612811,406.595784020144,,426.536380882201,429.46299850877,,433.432772169784,532.927772260588,
422.99499076155,421.215806398118,,433.432772169784,459.452788002051,,445.920832068921,415.592720868128,
435.296661706969,426.464019559442,,445.920832068921,537.42624068458,,456.172224523437,429.46299850877,
445.175276254047,436.210701144758,,456.172224523437,489.442577495331,,466.423616977952,399.47320901549,
455.053890801126,421.215806398118,,466.423616977952,427.213764296774,,476.675009432468,516.80826040795,
464.559727440768,484.194364334007,,476.675009432468,519.057494619946,,486.926401886983,404.346549808148,
474.438341987846,493.941045919324,,486.926401886983,432.087105089432,,496.059460619188,477.821534066685,
486.180846072109,467.325107744037,,496.059460619188,475.572299854689,,505.192519351393,459.452788002051,
495.686682711751,464.326128794709,,505.192519351393,500.688748555312,,514.325578083598,532.927772260588,
506.124464119985,511.934919615292,,514.325578083598,583.535542030499,,527.000026936453,498.439514343316,
516.003078667064,501.063620923978,,527.000026936453,496.19028013132,,537.251419390969,473.323065642693,
526.254471121579,526.929814361932,,537.251419390969,500.688748555312,,556.635870577689,569.665264389857,
535.760307761221,526.929814361932,,547.502811845484,540.050347265242,,566.887263032204,565.166795965865,
546.570867076892,557.669348592545,,557.7542043,526.1800696246,,577.13865548672,590.283244666487,
555.517536855378,568.540647283859,,568.005596754515,608.651990731122,,605.656165405645,569.665264389857,
566.887263032204,548.672411744561,,578.256989209031,530.678538048592,,618.330614258501,599.655053883138,
576.765877579283,546.798049901231,,585.153380496614,540.050347265242,,628.582006713016,585.784776242495,
586.271714218925,551.671390693889,,597.82782934947,579.037073606507,,638.833399167532,546.798049901231,
597.082273534596,606.402756519126,,608.079221803985,583.535542030499,,649.084791622047,654.761292077041,
606.588110174237,582.410924924501,,614.78922413785,691.498784206309,,659.336184076563,636.392546012406,
616.839502628753,603.403777569798,,627.463672990705,661.508994713029,,666.232575364146,583.535542030499,
626.718117175831,613.52533152378,,637.715065445221,636.392546012406,,678.720635263283,695.997252630301,
637.155898584065,633.393567063078,,647.966457899736,592.907351247149,,689.158416671517,643.140248648394,
647.034513131144,606.402756519126,,658.217850354252,691.498784206309,,718.794260312753,725.987042123582,
658.590628261689,656.260781551705,,668.469242808767,622.522268371764,,729.045652767269,785.591748741477,
668.469242808767,676.129017091003,,678.720635263283,613.52533152378,,739.297045221784,673.130038141675,
678.347857355846,676.129017091003,,689.158416671517,735.358851340232,,749.5484376763,764.973768464847,
688.226471902925,681.377230252327,,699.409809126033,705.369061846952,,756.444828963883,721.113701330924,
698.105086450003,695.997252630301,,709.661201580548,739.857319764224,,768.93288886302,721.113701330924,
707.983700997082,715.115743432268,,716.371203914413,725.987042123582,,798.568732504256,799.462026382119,
718.421482405316,661.134122344363,,729.045652767269,760.475300040855,,807.70179123646,746.605022400212,
728.85926381355,763.849151358849,,739.297045221784,712.11676448294,,816.834849968665,863.565201424007,
738.178711499473,742.856298713552,,749.5484376763,703.119827634956,,829.509298821521,850.06979615203,
748.057326046552,733.109617128236,,759.799830130815,785.591748741477,,839.760691276036,757.851193460192,
757.93594059363,747.72963950621,,770.05122258533,732.73474475957,,850.012083730552,923.544780410568,
769.864833631612,776.594811893493,,776.947613872914,746.605022400212,,860.263476185067,953.159697535182,
777.320391780351,771.721471100835,,789.435673772051,767.223002676843,,870.514868639583,923.544780410568,
788.690117957177,744.730660556882,,798.568732504256,797.212792170123,,880.766261094098,870.687776428661,
798.568732504256,837.324135617386,,807.70179123646,792.714323746131,,889.899319826303,831.701050087396,
808.447347051334,803.585622437445,,816.834849968665,762.724534252851,,899.032378558508,948.66122911119,
818.325961598413,837.324135617386,,829.509298821521,801.711260594115,,908.165437290713,891.305756705291,
828.204576145492,812.58255928543,,839.760691276036,748.854256612208,,920.839886143568,978.651018604471,
839.574302322318,866.189308004669,,850.012083730552,870.687776428661,,931.091278598084,939.664292263206,
850.012083730552,852.319030364026,,860.263476185067,792.714323746131,,941.342671052599,987.647955452455,
859.89069827763,868.063669847999,,870.514868639583,822.329240870746,,951.594063507115,967.029975175825,
869.769312824709,846.32107246537,,880.766261094098,875.186244852653,,961.84545596163,992.521296245113,
880.766261094098,899.927821184609,,887.662652381681,856.817498788018,,981.229907148351,1070.49474892764,
890.644875641177,899.927821184609,,900.337101234537,960.282272539836,,990.362965880556,992.521296245113,
900.523490188256,923.919652779234,,910.588493689053,856.817498788018,,999.49602461276,1017.63774494574,
910.402104735334,895.054480391951,,920.839886143568,930.292483046556,,,,
920.280719282413,910.049375138591,,931.091278598084,925.794014622564,,,,
939.665170469133,914.92271593125,,941.342671052599,891.305756705291,,,,
930.159333829492,973.777677811813,,951.594063507115,969.654081756487,,,,
949.543785016212,944.91250542453,,961.84545596163,951.285335691852,,,,
959.42239956329,978.651018604471,,972.096848416146,999.268998881101,,,,
971.724070508709,968.529464650489,,981.229907148351,1008.64080809775,,,,
981.602685055788,987.647955452455,,990.362965880556,1077.6173239323,,,,
991.481299602866,977.526401498473,,999.49602461276,1052.12600286301,,,,
1000.98713624251,1006.39157388576,,304.265227242888,273.516093143711,,,,
